optimalThreads,typeOp,matrixSize,numOp,numVar,varType,exeTime,isIterative,memoryPattern,complexity,matrixType
6,Determinant,470,103823000,1,int,0.04,0,0,3.0,0
2,Scaling,470,220900,2,int,0.0,0,1,2.0,0
5,Exponential,470,220900,2,mixed,0.004,0,1,2.0,0
7,Logarithm,470,220900,2,mixed,0.001,0,1,2.0,0
4,Squareroot,470,220900,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,470,34607666,3,int,0.046,0,0,3.0,0
4,Eigenvalue,470,22090000,2,mixed,0.002,1,1,2.0,0
8,Multiplication,480,110592000,3,int,0.105,0,0,3.0,0
5,Addition,480,230400,3,int,0.001,0,0,2.0,0
3,Transposition,480,230400,2,int,0.0,0,1,2.0,0
6,Determinant,480,110592000,1,int,0.042,0,0,3.0,0
3,Scaling,480,230400,2,int,0.001,0,1,2.0,0
5,Exponential,480,230400,2,mixed,0.001,0,1,2.0,0
7,Logarithm,480,230400,2,mixed,0.001,0,1,2.0,0
3,Squareroot,480,230400,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,480,36864000,3,int,0.05,0,0,3.0,0
3,Eigenvalue,480,23040000,2,mixed,0.002,1,1,2.0,0
6,Multiplication,490,117649000,3,int,0.109,0,0,3.0,0
2,Addition,490,240100,3,int,0.0,0,0,2.0,0
3,Transposition,490,240100,2,int,0.001,0,1,2.0,0
5,Determinant,490,117649000,1,int,0.047,0,0,3.0,0
3,Scaling,490,240100,2,int,0.0,0,1,2.0,0
6,Exponential,490,240100,2,mixed,0.002,0,1,2.0,0
8,Logarithm,490,240100,2,mixed,0.002,0,1,2.0,0
2,Squareroot,490,240100,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,490,39216333,3,int,0.051,0,0,3.0,0
5,Eigenvalue,490,24010000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,500,125000000,3,int,0.121,0,0,3.0,0
4,Addition,500,250000,3,int,0.001,0,0,2.0,0
3,Transposition,500,250000,2,int,0.0,0,1,2.0,0
6,Determinant,500,125000000,1,int,0.044,0,0,3.0,0
2,Scaling,500,250000,2,int,0.001,0,1,2.0,0
7,Exponential,500,250000,2,mixed,0.002,0,1,2.0,0
8,Logarithm,500,250000,2,mixed,0.002,0,1,2.0,0
7,Squareroot,500,250000,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,500,41666666,3,int,0.062,0,0,3.0,0
6,Eigenvalue,500,25000000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,510,132651000,3,int,0.154,0,0,3.0,0
2,Addition,510,260100,3,int,0.001,0,0,2.0,0
6,Transposition,510,260100,2,int,0.001,0,1,2.0,0
6,Determinant,510,132651000,1,int,0.046,0,0,3.0,0
3,Scaling,510,260100,2,int,0.0,0,1,2.0,0
5,Exponential,510,260100,2,mixed,0.002,0,1,2.0,0
7,Logarithm,510,260100,2,mixed,0.002,0,1,2.0,0
3,Squareroot,510,260100,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,510,44217000,3,int,0.055,0,0,3.0,0
8,Eigenvalue,510,26010000,2,mixed,0.004,1,1,2.0,0
6,Multiplication,520,140608000,3,int,0.14,0,0,3.0,0
3,Addition,520,270400,3,int,0.0,0,0,2.0,0
3,Transposition,520,270400,2,int,0.001,0,1,2.0,0
6,Determinant,520,140608000,1,int,0.048,0,0,3.0,0
1,Scaling,520,270400,2,int,0.001,0,1,2.0,0
6,Exponential,520,270400,2,mixed,0.001,0,1,2.0,0
8,Logarithm,520,270400,2,mixed,0.002,0,1,2.0,0
3,Squareroot,520,270400,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,520,46869333,3,int,0.06,0,0,3.0,0
